feature,feature value,n_samples,precision,recall,fbeta
workclass,Private,4523,0.6961325966850829,0.2581967213114754,0.3766816143497758
workclass,?,330,0.5652173913043478,0.37142857142857144,0.4482758620689655
workclass,Local-gov,452,0.6486486486486487,0.17518248175182483,0.2758620689655173
workclass,Self-emp-not-inc,505,0.6833333333333333,0.2789115646258503,0.3961352657004831
workclass,Federal-gov,214,0.6818181818181818,0.20270270270270271,0.3125
workclass,State-gov,258,0.84,0.24705882352941178,0.38181818181818183
workclass,Self-emp-inc,223,0.9387755102040817,0.40350877192982454,0.5644171779141104
workclass,Never-worked,2,1.0,1.0,1.0
workclass,Without-pay,6,1.0,1.0,1.0
feature,feature value,n_samples,precision,recall,fbeta
education,Some-college,1466,0.6464646464646465,0.2570281124497992,0.367816091954023
education,HS-grad,2115,0.5140845070422535,0.21037463976945245,0.2985685071574642
education,Bachelors,1081,0.8355263157894737,0.27850877192982454,0.41776315789473684
education,9th,104,0.0,0.0,1.0
education,Masters,335,0.9122807017543859,0.2694300518134715,0.416
education,Preschool,16,0.0,1.0,0.0
education,10th,174,0.5,0.2727272727272727,0.3529411764705882
education,Assoc-acdm,222,0.6956521739130435,0.26666666666666666,0.3855421686746988
education,Assoc-voc,258,0.8260869565217391,0.2753623188405797,0.41304347826086957
education,12th,80,0.6666666666666666,0.4,0.5
education,11th,246,0.5714285714285714,0.26666666666666666,0.36363636363636365
education,Doctorate,91,0.95,0.2753623188405797,0.42696629213483145
education,7th-8th,134,0.3333333333333333,0.2222222222222222,0.26666666666666666
education,Prof-school,107,0.9375,0.38461538461538464,0.5454545454545454
education,5th-6th,59,0.3333333333333333,0.5,0.4
education,1st-4th,25,0.0,1.0,0.0
feature,feature value,n_samples,precision,recall,fbeta
marital-status,Married-civ-spouse,3034,0.8074245939675174,0.25513196480938416,0.38774373259052924
marital-status,Separated,212,0.36363636363636365,0.2857142857142857,0.32
marital-status,Divorced,915,0.5614035087719298,0.3368421052631579,0.4210526315789474
marital-status,Never-married,2086,0.36231884057971014,0.30864197530864196,0.3333333333333333
marital-status,Married-spouse-absent,68,1.0,0.0,0.0
marital-status,Widowed,194,0.3,0.23076923076923078,0.2608695652173913
marital-status,Married-AF-spouse,4,1.0,1.0,1.0
feature,feature value,n_samples,precision,recall,fbeta
occupation,Machine-op-inspct,422,0.4827586206896552,0.2641509433962264,0.3414634146341463
occupation,?,332,0.5652173913043478,0.37142857142857144,0.4482758620689655
occupation,Protective-serv,130,0.6666666666666666,0.15384615384615385,0.25
occupation,Exec-managerial,860,0.8913043478260869,0.28805620608899296,0.4353982300884955
occupation,Prof-specialty,804,0.8813559322033898,0.28184281842818426,0.42710472279260775
occupation,Sales,696,0.8125,0.27225130890052357,0.40784313725490196
occupation,Transport-moving,341,0.5909090909090909,0.1780821917808219,0.2736842105263158
occupation,Tech-support,171,0.6,0.1875,0.2857142857142857
occupation,Handlers-cleaners,299,0.45454545454545453,0.29411764705882354,0.35714285714285715
occupation,Adm-clerical,785,0.43859649122807015,0.23809523809523808,0.30864197530864196
occupation,Other-service,672,0.21428571428571427,0.1111111111111111,0.14634146341463417
occupation,Craft-repair,779,0.6290322580645161,0.2422360248447205,0.34977578475336324
occupation,Farming-fishing,190,0.375,0.2727272727272727,0.3157894736842105
occupation,Armed-Forces,3,1.0,0.0,0.0
occupation,Priv-house-serv,29,1.0,1.0,1.0
feature,feature value,n_samples,precision,recall,fbeta
relationship,Husband,2666,0.8058510638297872,0.25569620253164554,0.38821268417680976
relationship,Not-in-family,1601,0.48314606741573035,0.3049645390070922,0.37391304347826093
relationship,Wife,315,0.8163265306122449,0.24242424242424243,0.37383177570093457
relationship,Unmarried,705,0.43243243243243246,0.32,0.36781609195402293
relationship,Own-child,1021,0.1875,0.21428571428571427,0.19999999999999998
relationship,Other-relative,205,0.6363636363636364,0.5384615384615384,0.5833333333333334
feature,feature value,n_samples,precision,recall,fbeta
